mean_intensity,std_intensity,mean_r,mean_g,mean_b,std_r,std_g,std_b
0.31513458490371704,0.06549292057752609,0.31514865159988403,0.31514865159988403,0.31514865159988403,0.0654849037528038,0.0654849037528038,0.0654849037528038
0.39287301898002625,0.17738452553749084,0.3928702473640442,0.3928702473640442,0.3928702473640442,0.17733891308307648,0.17733891308307648,0.17733891308307648
0.1770198792219162,0.1946471482515335,0.17692911624908447,0.17692911624908447,0.17692911624908447,0.19465306401252747,0.19465306401252747,0.19465306401252747
0.1950288712978363,0.2725766897201538,0.19523094594478607,0.19523094594478607,0.19523094594478607,0.2726017236709595,0.2726017236709595,0.2726017236709595
0.383601576089859,0.10378088057041168,0.38349270820617676,0.38349270820617676,0.38349270820617676,0.10377286374568939,0.10377286374568939,0.10377286374568939
0.40947166085243225,0.1480245441198349,0.4094853103160858,0.4094853103160858,0.4094853103160858,0.1480235904455185,0.1480235904455185,0.1480235904455185
0.4470057189464569,0.0935874804854393,0.44677916169166565,0.44677916169166565,0.44677916169166565,0.09357022494077682,0.09357022494077682,0.09357022494077682
0.3114783763885498,0.1282905489206314,0.31146737933158875,0.31146737933158875,0.31146737933158875,0.12830570340156555,0.12830570340156555,0.12830570340156555
0.434467613697052,0.13503989577293396,0.4342576861381531,0.4342576861381531,0.4342576861381531,0.1350402534008026,0.1350402534008026,0.1350402534008026
0.04047081992030144,0.08663254976272583,0.04046883061528206,0.04046883061528206,0.04046883061528206,0.08657573908567429,0.08657573908567429,0.08657573908567429
0.5026219487190247,0.09422249346971512,0.5025460720062256,0.5025460720062256,0.5025460720062256,0.09422208368778229,0.09422208368778229,0.09422208368778229
0.030247895047068596,0.0809844359755516,0.03023790381848812,0.03023790381848812,0.03023790381848812,0.08101069927215576,0.08101069927215576,0.08101069927215576
0.10926653444766998,0.14751924574375153,0.10918573290109634,0.10918573290109634,0.10918573290109634,0.14753803610801697,0.14753803610801697,0.14753803610801697
0.31451237201690674,0.11884196102619171,0.31444817781448364,0.31444817781448364,0.31444817781448364,0.11883220821619034,0.11883220821619034,0.11883220821619034
0.2691345512866974,0.06647301465272903,0.2691401243209839,0.2691401243209839,0.2691401243209839,0.06648731976747513,0.06648731976747513,0.06648731976747513
0.43419235944747925,0.16834963858127594,0.4341350793838501,0.4341350793838501,0.4341350793838501,0.16833941638469696,0.16833941638469696,0.16833941638469696
0.3195927143096924,0.13194724917411804,0.3195948302745819,0.3195948302745819,0.3195948302745819,0.13195684552192688,0.13195684552192688,0.13195684552192688
0.36514556407928467,0.1375935673713684,0.3650195002555847,0.3650195002555847,0.3650195002555847,0.13757938146591187,0.13757938146591187,0.13757938146591187
0.08412119746208191,0.09074603766202927,0.08400144428014755,0.08400144428014755,0.08400144428014755,0.09075126051902771,0.09075126051902771,0.09075126051902771
0.1328093558549881,0.1501060575246811,0.13264307379722595,0.13264307379722595,0.13264307379722595,0.15017065405845642,0.15017065405845642,0.15017065405845642
0.5118106603622437,0.19487202167510986,0.511639416217804,0.511639416217804,0.511639416217804,0.19487057626247406,0.19487057626247406,0.19487057626247406
0.4526772201061249,0.09373002499341965,0.4525165855884552,0.4525165855884552,0.4525165855884552,0.09372405707836151,0.09372405707836151,0.09372405707836151
0.250625878572464,0.11134684085845947,0.25057974457740784,0.25057974457740784,0.25057974457740784,0.11130781471729279,0.11130781471729279,0.11130781471729279
0.11749211698770523,0.15612050890922546,0.11739525943994522,0.11739525943994522,0.11739525943994522,0.15603598952293396,0.15603598952293396,0.15603598952293396
0.3272610902786255,0.27287521958351135,0.32744187116622925,0.32744187116622925,0.32744187116622925,0.2728889286518097,0.2728889286518097,0.2728889286518097
0.28108566999435425,0.1341903656721115,0.2811127007007599,0.2811127007007599,0.2811127007007599,0.13422651588916779,0.13422651588916779,0.13422651588916779
0.3025330603122711,0.06304856389760971,0.30249127745628357,0.30249127745628357,0.30249127745628357,0.06305000931024551,0.06305000931024551,0.06305000931024551
0.3951224386692047,0.10780081897974014,0.39498889446258545,0.39498889446258545,0.39498889446258545,0.1077917143702507,0.1077917143702507,0.1077917143702507
0.24452100694179535,0.06798459589481354,0.24449962377548218,0.24449962377548218,0.24449962377548218,0.0679686963558197,0.0679686963558197,0.0679686963558197
0.1303521990776062,0.1691591441631317,0.1302095204591751,0.1302095204591751,0.1302095204591751,0.16908341646194458,0.16908341646194458,0.16908341646194458
0.049788445234298706,0.10416767746210098,0.04977908730506897,0.04977908730506897,0.04977908730506897,0.10418813675642014,0.10418813675642014,0.10418813675642014
0.44152191281318665,0.19354486465454102,0.44142618775367737,0.44142618775367737,0.44142618775367737,0.1935775727033615,0.1935775727033615,0.1935775727033615
0.4622501730918884,0.1648865044116974,0.4621391296386719,0.4621391296386719,0.4621391296386719,0.1648697704076767,0.1648697704076767,0.1648697704076767
0.4792617857456207,0.11336798965930939,0.47891920804977417,0.47891920804977417,0.47891920804977417,0.11333288252353668,0.11333288252353668,0.11333288252353668
0.14167876541614532,0.06860344856977463,0.1413237601518631,0.1413237601518631,0.1413237601518631,0.06858088821172714,0.06858088821172714,0.06858088821172714
0.23489250242710114,0.09433842450380325,0.2349112331867218,0.2349112331867218,0.2349112331867218,0.09431756287813187,0.09431756287813187,0.09431756287813187
0.2948957681655884,0.11558035761117935,0.29493987560272217,0.29493987560272217,0.29493987560272217,0.11557748913764954,0.11557748913764954,0.11557748913764954
0.15110592544078827,0.022952942177653313,0.15070948004722595,0.15070948004722595,0.15070948004722595,0.022953705862164497,0.022953705862164497,0.022953705862164497
0.2600663900375366,0.06012490391731262,0.2600005269050598,0.2600005269050598,0.2600005269050598,0.060116905719041824,0.060116905719041824,0.060116905719041824
